match_id,over_id,ball_id,innings_no,team_batting,team_bowling,striker_batting_position,extra_type,runs_scored,extra_runs,wides,legbyes,byes,noballs,penalty,bowler_extras,out_type,caught,bowled,run_out,lbw,retired_hurt,stumped,caught_and_bowled,hit_wicket,obstructingfeild,bowler_wicket,match_date,season,striker,non_striker,bowler,player_out,fielders,striker_match_sk,strikersk,nonstriker_match_sk,nonstriker_sk,fielder_match_sk,fielder_sk,bowler_match_sk,bowler_sk,playerout_match_sk,battingteam_sk,bowlingteam_sk,keeper_catch,player_out_sk,matchdatesk
598063,3,5,2,5,3,1,No Extras,0,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,6,85,364,null,null,21098,5,21101,84,-1,-1,21118,363,-1,4,2,null,0,null
598063,3,6,2,5,3,1,No Extras,4,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,6,85,364,null,null,21098,5,21101,84,-1,-1,21118,363,-1,4,2,null,0,null
598063,2,1,2,5,3,2,No Extras,0,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,85,6,391,null,null,21101,84,21098,5,-1,-1,21119,390,-1,4,2,null,0,null
598063,2,2,2,5,3,2,No Extras,0,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,85,6,391,null,null,21101,84,21098,5,-1,-1,21119,390,-1,4,2,null,0,null
598063,2,3,2,5,3,2,No Extras,0,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,85,6,391,null,null,21101,84,21098,5,-1,-1,21119,390,-1,4,2,null,0,null
598063,2,4,2,5,3,2,No Extras,1,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,85,6,391,null,null,21101,84,21098,5,-1,-1,21119,390,-1,4,2,null,0,null
598063,2,5,2,5,3,1,No Extras,0,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,6,85,391,null,null,21098,5,21101,84,-1,-1,21119,390,-1,4,2,null,0,null
598063,2,6,2,5,3,1,No Extras,0,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,6,85,391,null,null,21098,5,21101,84,-1,-1,21119,390,-1,4,2,null,0,null
598063,1,1,2,5,3,1,No Extras,0,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,6,85,364,null,null,21098,5,21101,84,-1,-1,21118,363,-1,4,2,null,0,null
598063,1,2,2,5,3,1,No Extras,0,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,6,85,364,null,null,21098,5,21101,84,-1,-1,21118,363,-1,4,2,null,0,null
598063,1,3,2,5,3,1,No Extras,1,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,6,85,364,null,null,21098,5,21101,84,-1,-1,21118,363,-1,4,2,null,0,null
